,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
2426,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,8522.0
2427,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,9120.0
2430,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,12716.0
2431,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,13198.0
2432,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,13615.0
2440,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,14713.0
2441,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,15221.0
2442,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,17204.0
2445,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,3844.0
2446,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,3904.0
2447,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,4246.0
2450,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,3948.0
2451,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,4154.0
2452,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,4497.0
2455,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,26070.0
2456,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,26117.0
2457,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,18875.0
2489,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,157.0
2490,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,154.0
2491,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,170.0
2494,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,72.0
2495,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,74.0
2496,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,63.0
2499,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,131.0
2500,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,133.0
2501,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,134.0
2504,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,216.0
2505,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,220.0
2506,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,206.0
2514,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,86.0
2515,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,85.0
2516,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,84.0
2519,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2021,15.0
2520,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2022,15.0
2521,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2023,15.0
2524,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2021,100.0
2525,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2022,103.0
2526,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2023,103.0
2529,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,133.0
2530,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,130.0
2531,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,137.0
2534,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,8.0
2535,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,8.0
2536,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,8.0
2539,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,115.0
2540,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,116.0
2541,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,100.0
2549,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,75.0
2550,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,78.0
2551,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,77.0
2554,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,79.0
2555,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,83.0
2556,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,78.0
2564,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,54.0
2565,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,58.0
2566,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,59.0
2569,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,130.0
2570,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,171.0
2571,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,198.0
2574,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,169.0
2575,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,169.0
2576,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,166.0
2579,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,29.0
2580,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,27.0
2581,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,28.0
2584,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,110.0
2585,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,109.0
2586,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,111.0
2594,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,227.0
2595,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,245.0
2596,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,241.0
2599,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,32.0
2600,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,32.0
2601,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,33.0
2604,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2021,148.0
2605,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2022,151.0
2606,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2023,151.0
2609,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,146.0
2610,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,146.0
2611,Establishments,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,138.0
2642,Establishments,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2021,-1.53
2643,Establishments,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2022,-0.07
2644,Establishments,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2023,-1.4
2647,Establishments,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2021,-0.45
2648,Establishments,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2022,-0.22
2649,Establishments,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2023,-1.57
2652,Establishments,Percentage change on previous period,Hotels and similar accommodation,Liguria,2021,-1.48
2653,Establishments,Percentage change on previous period,Hotels and similar accommodation,Liguria,2022,-1.19
2654,Establishments,Percentage change on previous period,Hotels and similar accommodation,Liguria,2023,-0.88
2657,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2021,1.12
2658,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2022,0.32
2659,Establishments,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2023,-2.66
2667,Establishments,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2021,0.0
2668,Establishments,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2022,-0.39
2669,Establishments,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2023,0.13
2672,Establishments,Percentage change on previous period,Hotels and similar accommodation,Molise,2021,-1.27
2673,Establishments,Percentage change on previous period,Hotels and similar accommodation,Molise,2022,-2.56
2674,Establishments,Percentage change on previous period,Hotels and similar accommodation,Molise,2023,0.0
2677,Establishments,Percentage change on previous period,Hotels and similar accommodation,Campania,2021,0.89
2678,Establishments,Percentage change on previous period,Hotels and similar accommodation,Campania,2022,0.47
2679,Establishments,Percentage change on previous period,Hotels and similar accommodation,Campania,2023,-0.12
2682,Establishments,Percentage change on previous period,Hotels and similar accommodation,Puglia,2021,3.29
